wine_name,link,country,type,description,evaluation,rating_count,lowest_price,full_price,discount,vivino_name,vivino_link,vivino_score,vivino_rating,vivino_price
Pinhal Da Torre Special D.O.C. Tejo 2008,wine.com.br/vinhos/pinhal-da-torre-special-d-o-c-tejo-2008/prod4533.html,Portugal,tinto,"Maduro, elegante, boa acidez, taninos macios, final longo",5.0,1.0,758.71,999.9,0.24121412141214116,Pinhal Da Torre Special 2008,www.vivino.com/wines/1440080,4.3,138.0,480.0
Tormentoso Syrah 2016,wine.com.br/vinhos/tormentoso-syrah-2016/prod20037.html,África do Sul,tinto,"Médio corpo, taninos macios, boa acidez, média presença da madeira, leve frutado",3.5,46.0,58.71,122.9,0.5222945484133442,Tormentoso Syrah 2016,www.vivino.com/wines/158476133,3.5,1149.0,
Jiménez-Landi Bajondillo D.O. Méntrida 2017,wine.com.br/vinhos/jimenez-landi-bajondillo-d-o-mentrida-2017/prod20080.html,Espanha,tinto,"Leve, acidez marcantes, taninos macios",4.0,13.0,98.71,119.9,0.1767306088407007,Jiménez-Landi Bajondillo 2017,www.vivino.com/wines/152761412,3.6,193.0,
Finca La Chamiza Martín Alsina Malbec 2014,wine.com.br/vinhos/finca-la-chamiza-martin-alsina-malbec-2014/prod20028.html,Argentina,tinto,"Frutado, amadeirado, corpo de médio para encorpado, taninos presentes, acidez agradável",0.0,0.0,352.82,495.9,0.28852591248235526,La Chamiza Martin Alsina Malbec 2014,www.vivino.com/wines/11537877,4.2,101.0,168.0
Maycas del Limarí Reserva Especial Pinot Noir 2017,wine.com.br/vinhos/maycas-del-limari-reserva-especial-pinot-noir-2017/prod20221.html,Chile,tinto,"Bom corpo, acidez presente, taninos sedosos, frutado",4.0,25.0,166.94,199.9,0.16488244122061035,Maycas del Limari Reserva Especial Pinot Noir 2017,www.vivino.com/wines/152575001,3.7,228.0,
Pauillac De Lynch-Bages 2015,wine.com.br/vinhos/pauillac-de-lynch-bages-2015/prod20236.html,França,tinto,"Médio corpo, boa acidez, taninos presentes, final longo",3.0,1.0,364.59,630.9,0.4221112696148359,Château Lynch-Bages Pauillac de Lynch-Bages 2015,www.vivino.com/wines/63019180,4.0,386.0,290.0
Famille J-M Cazes A.O.C. Saint-Estèphe 2015,wine.com.br/vinhos/famille-j-m-cazes-a-o-c-saint-estephe-2015/prod20238.html,França,tinto,"Complexo, elegante, taninos macios, acidez agradável",0.0,0.0,322.24,589.9,0.45373792168164095,Jean-Michel Cazes Saint-Estèphe 2015,www.vivino.com/wines/157695445,4.0,95.0,
Echo de Lynch-Bages A.O.C. Pauillac 2014,wine.com.br/vinhos/echo-de-lynch-bages-a-o-c-pauillac-2014/prod20208.html,França,tinto,"Exuberante, encorpado, taninos presentes, boa acidez, final longo",0.0,0.0,721.06,1056.9,0.3177594852871607,Château Lynch-Bages Echo de Lynch-Bages Pauillac 2014,www.vivino.com/wines/4436388,4.0,510.0,
Viñedo de los Vientos Angel's Cuvée Ripasso de Tannat 2013,wine.com.br/vinhos/vinedo-de-los-vientos-angel-s-cuvee-ripasso-de-tannat-2013/prod20117.html,Uruguai,tinto,"Encorpado, taninos presentes, acidez agradável, final longo",5.0,23.0,231.65,399.9,0.4207301825456363,Vientos Angel's Cuvée Ripasso de Tannat 2013,www.vivino.com/wines/2851286,4.3,164.0,
Calyptra Gran Reserva Cabernet Sauvignon 2015,wine.com.br/vinhos/calyptra-gran-reserva-cabernet-sauvignon-2015/prod20138.html,Chile,tinto,"Encorpado, taninos presentes, acidez agradável, maduro ",3.5,5.0,282.24,299.9,0.058886295431810454,Calyptra Cabernet Sauvignon Gran Reserva 2015,www.vivino.com/wines/146960588,4.1,215.0,177.0
Domaine L'Ostal Cazes Grand Vin 2015,wine.com.br/vinhos/domaine-l-ostal-cazes-grand-vin-2015/prod20143.html,França,tinto,"Encorpado, boa acidez, taninos macios",0.0,0.0,258.71,335.9,0.22980053587377192,L'Ostal Cazes Grand Vin Minervois La Livinière 2015,www.vivino.com/wines/120763131,3.9,221.0,
Burmester D.O.C. Douro Tinto 2016,wine.com.br/vinhos/burmester-d-o-c-douro-tinto-2016/prod20106.html,Portugal,tinto,"Médio corpo, taninos macios, acidez agradável",4.5,52.0,72.82,109.9,0.3373976342129209,Rabugento Reserva Douro DOC Tinto 2016,www.vivino.com/wines/152974051,,,
Partridge Gran Reserva Malbec 2016,wine.com.br/vinhos/partridge-gran-reserva-malbec-2016/prod20179.html,Argentina,tinto,"Estruturado, amadeirado, taninos presentes, fresco",4.5,52.0,124.59,149.9,0.16884589726484323,Las Perdices Partridge Gran Reserva Malbec 2016,www.vivino.com/wines/96671737,3.7,1530.0,75.0
Château Puy-Blanquet A.O.C. Saint-Émilion Grand Cru 2011,wine.com.br/vinhos/chateau-puy-blanquet-a-o-c-saint-emilion-grand-cru-2011/prod20203.html,França,tinto,"Elegante, acidez agradável, bom corpo, taninos macios",3.5,2.0,359.88,435.9,0.17439779766001373,Château Puy-Blanquet Saint-Émilion Grand Cru 2011,www.vivino.com/wines/1226210,3.8,477.0,
