wine_name,link,country,type,grape,classification,description,evaluation,rating_count,lowest_price,full_price,discount
Pinhal Da Torre Special D.O.C. Tejo 2008,wine.com.br/vinhos/pinhal-da-torre-special-d-o-c-tejo-2008/prod4533.html,Portugal,tinto,"Touriga Nacional (45.00%), Syrah (35.00%), Tinta Roriz (20.00%)",Seco,"Maduro, elegante, boa acidez, taninos macios, final longo",5.0,1.0,826.94,999.9,0.17297729772977288
Finca La Chamiza Martín Alsina Malbec 2014,wine.com.br/vinhos/finca-la-chamiza-martin-alsina-malbec-2014/prod20028.html,Argentina,tinto,Malbec (100%),Seco,"Frutado, amadeirado, corpo de médio para encorpado, taninos presentes, acidez agradável",5.0,1.0,323.41,495.9,0.3478322242387577
Echo de Lynch-Bages A.O.C. Pauillac 2014,wine.com.br/vinhos/echo-de-lynch-bages-a-o-c-pauillac-2014/prod20208.html,França,tinto,"Cabernet Sauvignon (73.00%), Merlot (27.00%)",Seco,"Exuberante, encorpado, taninos presentes, boa acidez, final longo",0.0,0.0,721.06,1056.9,0.3177594852871607
Suolo Rosso D.O.P. Primitivo di Manduria 2016,wine.com.br/vinhos/suolo-rosso-d-o-p-primitivo-di-manduria-2016/prod20178.html,Itália,tinto,Primitivo (100%),Meio Seco/Demi-Sec,"Frutado, médio corpo, acidez agradável, taninos macios, leve amadeirado, doçura sutil",4.5,13.0,179.88,219.9,0.18199181446111878
Château La Fleur-Pétrus A.O.C. Pomerol 2006,wine.com.br/vinhos/chateau-la-fleur-petrus-a-o-c-pomerol-2006/prod20202.html,França,tinto,"Merlot (91%), Cabernet Franc (6%), Petit Verdot (3%)",Seco,"Aveludado, complexo, boa acidez, corpo de médio para encorpado",0.0,0.0,3614.0,6036.9,0.40134837416554847
Fleur Du Cap Laszlo 2015.,wine.com.br/vinhos/fleur-du-cap-laszlo-2015-/prod20273.html,África do Sul,tinto,"Cabernet Sauvignon, Petit Verdot, Malbec, Merlot",Seco,"Complexo, intenso, encorpado, acidez agradável, taninos presentes, amadeirado, bom final",0.0,0.0,705.76,798.9,0.1165853047940919
Viña Vilano Roble Tempranillo 2016,wine.com.br/vinhos/vina-vilano-roble-tempranillo-2016/prod20270.html,Espanha,tinto,Tempranillo (100%),Seco,"Encorpado, taninos presentes, boa acidez, harmônico, frutado, amadeirado",2.5,10.0,94.0,167.9,0.4401429422275164
William Hill Napa Valley Cabernet Sauvignon 2014,wine.com.br/vinhos/william-hill-napa-valley-cabernet-sauvignon-2014/prod20401.html,Estados Unidos,tinto,"Merlot, Petite Sirah, Cabernet Franc, Cabernet Sauvignon",Seco,"Médio corpo, acidez agradável, taninos macios, frutado",0.0,0.0,766.94,872.9,0.12138847519761709
Ropiteau Frères A.O.C. Coteaux Bourguignons 2016,wine.com.br/vinhos/ropiteau-freres-a-o-c-coteaux-bourguignons-2016/prod20289.html,França,tinto,Gamay (100.00%),Seco,"Frutado, boa acidez, taninos sedosos, leve",4.0,4.0,121.06,138.9,0.12843772498200146
Ulysses Napa Valley 2014,wine.com.br/vinhos/ulysses-napa-valley-2014/prod20427.html,Estados Unidos,tinto,"Cabernet Sauvignon (92.00%), Petit Verdot, Cabernet Franc",Seco,"Intenso, encorpado, taninos presentes, boa acidez, longo, complexo",0.0,0.0,2059.88,3041.9,0.32283112528353985
Toro Loco Barricas & Tinajas 2016,wine.com.br/vinhos/toro-loco-barricas-tinajas-2016/prod20547.html,Espanha,tinto,"Merlot, Bobal, Tempranillo",Seco,"Corpo de médio para encorpado, taninos presentes, boa acidez, amadeirado",4.0,5.0,117.53,159.9,0.2649781113195747
Parlanchín D.O.Ca. Rioja 2017,wine.com.br/vinhos/parlanchin-d-o-ca-rioja-2017/prod20601.html,Espanha,tinto,"Tempranillo (87%), Garnacha (13%)",Seco,"Médio corpo, taninos macios, acidez agradável, leve amadeirado",5.0,2.0,136.9,136.9,0.0
Villa Antinori I.G.T. Toscana 2016,wine.com.br/vinhos/villa-antinori-i-g-t-toscana-2016/prod24416.html,Itália,tinto,"Sangiovese, Petit Verdot, Syrah, Merlot, Cabernet Sauvignon",Seco,"Na boca apresenta bom corpo, taninos macios e notas de frutas do bosque maduras.",4.0,1.0,211.65,249.9,0.15306122448979587
Witral Limited Edition Syrah 2016,wine.com.br/vinhos/witral-limited-edition-syrah-2016/prod20621.html,Chile,tinto,Syrah (100%),Seco,"Médio corpo, taninos presentes, boa acidez, frutado, média presença da madeira, complexo",4.0,18.0,123.41,147.9,0.16558485463150785
Las Moras Dadá Nº 3 2018,wine.com.br/vinhos/las-moras-dada-n-3-2018/prod24466.html,Argentina,tinto,"Syrah, Cabernet Sauvignon",Meio Seco/Demi-Sec,"Corpo médio, taninos gentis e boa acidez",3.5,2.0,70.47,90.9,0.22475247524752484
Las Moras Dadá Nº 2 2018,wine.com.br/vinhos/las-moras-dada-n-2-2018/prod24465.html,Argentina,tinto,Merlot,Meio Seco/Demi-Sec,"Encorpado, taninos firmes e boa persistência",4.0,3.0,70.47,90.9,0.22475247524752484
Château Roc de Boisseaux A.O.C. Saint-Émilion 2012,wine.com.br/vinhos/chateau-roc-de-boisseaux-a-o-c-saint-emilion-2012/prod20894.html,França,tinto,"Merlot (70.00%), Cabernet Sauvignon (5.00%), Cabernet Franc (25.00%)",Seco,"Corpo de médio para encorpado, taninos macios, acidez agradável, complexo, maduro",2.5,2.0,322.24,490.9,0.34357302913016907
Bridlewood Monterey County Pinot Noir 2016,wine.com.br/vinhos/bridlewood-monterey-county-pinot-noir-2016/prod20900.html,Estados Unidos,tinto,"Pinot Noir (99.00%), Petite Sirah (1.00%)",Meio Seco/Demi-Sec,"Corpo de leve para médio, frutado, acidez presente, taninos sedosos",4.0,4.0,191.9,191.9,0.0
Pinhal da Torre Resiliente 2015,wine.com.br/vinhos/pinhal-da-torre-resiliente-2015/prod21086.html,Portugal,tinto,"Touriga Nacional, Tinta Francisca, Sousão, Alicante Bouschet",Meio Seco/Demi-Sec,"Potente, taninos presentes, boa acidez, tosta, final longo",0.0,0.0,1225.76,1616.9,0.24190735357783422
Pinhal da Torre Protagonista 2013,wine.com.br/vinhos/pinhal-da-torre-protagonista-2013/prod21084.html,Portugal,tinto,"Touriga Franca , Alicante Bouschet, Syrah",Meio Seco/Demi-Sec,"Encorpado, taninos macios, amadeirado, boa acidez",3.5,6.0,378.71,588.9,0.3569196807607403
Tenuta Tignanello Marchese Antinori Riserva D.O.C.G. Chianti Classico 2015,wine.com.br/vinhos/tenuta-tignanello-marchese-antinori-riserva-d-o-c-g-chianti-classico-2015/prod24396.html,Itália,tinto,"Sangiovese (90.00%), Cabernet Sauvignon (10.00%)",Seco,"elegante. Na boca revela todas as características de um verdadeiro Chianti clássico, equilibrado, com muito boa acidez, estrutura, taninos macios e final longo.",0.0,0.0,694.0,839.9,0.17371115609001064
Luigi Bosca Cabernet Sauvignon 2017,wine.com.br/vinhos/luigi-bosca-cabernet-sauvignon-2017/prod24452.html,Argentina,tinto,Cabernet Sauvignon (100.00%),Seco,"De paladar franco e fresco, com bom corpo e caráter especiado.  Final persistente, aparecendo os defumados pela maturação no carvalho. ",0.0,0.0,188.12,228.9,0.17815640017474876
Columbia Crest Grand Estates Cabernet Sauvignon 2016,wine.com.br/vinhos/columbia-crest-grand-estates-cabernet-sauvignon-2016/prod24407.html,Estados Unidos,tinto,"Merlot, Outras uvas autorizadas, Cabernet Sauvignon",Seco,Final persistente com notas de chocolate amargo.,4.5,3.0,152.82,179.9,0.15052807115063926
Norton Finca La Colonia Malbec 2017,wine.com.br/vinhos/norton-finca-la-colonia-malbec-2017/prod24411.html,Argentina,tinto,Malbec,Seco," Em boca é fresco, frutado e com final de boca agradável.",3.5,3.0,82.24,98.9,0.16845298281092025
Norton Finca La Colonia Cabernet Sauvignon 2017,wine.com.br/vinhos/norton-finca-la-colonia-cabernet-sauvignon-2017/prod24412.html,Argentina,tinto,Cabernet Sauvignon,Seco," Em boca é frutado e com notas de especiarias, apresenta bom corpo e final agradável.",4.5,3.0,82.24,98.9,0.16845298281092025
Terrazas de Los Andes Reserva Cabernet Sauvignon 2016,wine.com.br/vinhos/terrazas-de-los-andes-reserva-cabernet-sauvignon-2016/prod21671.html,Argentina,tinto,Cabernet Sauvignon,Seco,"Corpo de médio para encorpado, taninos macios, acidez agradável, frutado, média presença da madeira",4.0,3.0,186.9,186.9,0.0
Norton Porteño Malbec 2018,wine.com.br/vinhos/norton-porteno-malbec-2018/prod24413.html,Argentina,tinto,Malbec,Meio Seco/Demi-Sec,"Na boca apresenta frutos vermelhos maduros, com taninos longos e harmoniosos.",0.0,0.0,85.76,98.9,0.13286147623862488
Motto Unabashed Zinfandel 2015,wine.com.br/vinhos/motto-unabashed-zinfandel-2015/prod24408.html,Estados Unidos,tinto,"Cabernet Sauvignon, Zinfandel",Seco,O paladar revela sabores de framboesas com cobertura dechocolate amargo com uma pitada de especiarias doces.,1.0,1.0,152.82,179.9,0.15052807115063926
Carpineto Riserva D.O.C.G. Chianti Classico 2015,wine.com.br/vinhos/carpineto-riserva-d-o-c-g-chianti-classico-2015/prod22073.html,Itália,tinto,"Sangiovese, Canaiolo",Seco,"Médio corpo, acidez presente, taninos firmes",5.0,1.0,268.12,329.9,0.18726886935434972
Edna Valley Central Coast Pinot Noir 2017,wine.com.br/vinhos/edna-valley-central-coast-pinot-noir-2017/prod22152.html,Estados Unidos,tinto,Pinot Noir,Meio Seco/Demi-Sec,"Leve, boa acidez, taninos macios",1.0,1.0,182.24,253.9,0.28223710122095313
Château de La Rivière A.O.C. Fronsac 2011,wine.com.br/vinhos/chateau-de-la-riviere-a-o-c-fronsac-2011/prod22211.html,França,tinto,"Merlot (84%), Cabernet Franc (8%), Cabernet Sauvignon (6%), Malbec (2%)",Seco,"Encorpado, taninos macios, acidez agradável, maduro, final longo",4.5,6.0,377.9,377.9,0.0
Louis M. Martini Monte Rosso Cabernet Sauvignon 2014,wine.com.br/vinhos/louis-m-martini-monte-rosso-cabernet-sauvignon-2014/prod22206.html,Estados Unidos,tinto,Cabernet Sauvignon,Seco,"Complexo, encorpado, com taninos presentes, notas de frutas negras, tosta e caramelo.",0.0,0.0,1483.41,1559.9,0.04903519456375405
Château de La Rivière A.O.C. Fronsac 2016,wine.com.br/vinhos/chateau-de-la-riviere-a-o-c-fronsac-2016/prod22205.html,França,tinto,"Merlot (84.00%), Cabernet Franc (8.00%), Cabernet Sauvignon (6.00%), Malbec (2.00%)",Seco,"Potente, taninos presentes, boa acidez, notas do amadurecimento, final longo",4.0,1.0,281.06,435.9,0.35521908694654736
Pérez Cruz Reserva D.O. Valle del Maipo Cabernet Sauvignon 2016,wine.com.br/vinhos/perez-cruz-reserva-d-o-valle-del-maipo-cabernet-sauvignon-2016/prod22132.html,Chile,tinto,"Cabernet Sauvignon (91%), Syrah (4%), Carménère (3%), Petit Verdot (2%)",Seco,"Médio corpo, taninos presentes, boa acidez",4.5,36.0,99.9,99.9,0.0
MacMurray Russian River Valley Pinot Noir 2016,wine.com.br/vinhos/macmurray-russian-river-valley-pinot-noir-2016/prod22150.html,Estados Unidos,tinto,Pinot Noir,Seco,"Frutado, corpo de leve para médio, taninos macios, acidez agradável",4.0,1.0,309.29,431.9,0.2838851586015281
Frei Brothers Reserve Russian River Pinot Noir 2016,wine.com.br/vinhos/frei-brothers-reserve-russian-river-pinot-noir-2016/prod22146.html,Estados Unidos,tinto,Pinot Noir (100%),Seco,"Corpo de leve para médio, taninos macios, acidez agradável",3.5,3.0,210.47,292.9,0.28142710822806416
